pctid,ward,precinct,neighborhood,general_total,general_marianne_lalonde,general_erika_wozniak_francis,general_justin_kreindler,general_james_cappleman,general_angela_clay,general_jon-robert_mcdowell,general_total_registered,general_total_ballots,general_lalonde_clay_spread,runoff_total,runoff_james_cappleman,runoff_marianne_lalonde,runoff_total_registered,runoff_total_ballots
4603,46,3,northhalsted,434,126,57,35,173,40,3,920,449,-86,453,193,260,925,459
4639,46,39,northhalsted,325,97,47,34,115,22,10,809,342,-75,330,142,188,803,344
4628,46,28,northhalsted,407,85,62,18,211,21,10,734,417,-64,414,240,174,739,417
4610,46,10,northhalsted,427,103,73,32,159,54,6,1336,443,-49,426,179,247,1343,434
4631,46,31,northhalsted,296,74,75,17,99,27,4,822,308,-47,311,121,190,826,324
4617,46,17,buena_park,436,82,68,15,224,39,8,954,457,-43,419,237,182,961,424
4640,46,40,uptown,334,70,62,0,162,27,13,707,349,-43,339,177,162,712,341
4633,46,33,northhalsted,380,65,69,27,193,23,3,865,392,-42,401,193,208,865,410
4624,46,24,northhalsted,400,80,63,22,186,39,10,903,413,-41,415,204,211,913,421
4636,46,36,northhalsted,358,69,69,29,153,31,7,718,366,-38,361,203,158,731,367
4621,46,21,uptown,199,58,29,9,80,22,1,758,203,-36,235,113,122,767,236
4634,46,34,buena_park,399,77,99,15,149,49,10,1071,411,-28,376,176,200,1085,383
4607,46,7,buena_park,443,69,62,7,253,45,7,817,454,-24,439,280,159,819,448
4618,46,18,northhalsted,372,66,56,26,171,44,9,984,397,-22,404,227,177,988,418
4619,46,19,northhalsted,270,41,38,18,148,20,5,543,279,-21,295,171,124,547,303
4630,46,30,northhalsted,325,62,50,39,127,44,3,878,340,-18,343,158,185,885,351
4622,46,22,uptown,284,93,66,2,43,76,4,798,289,-17,301,57,244,804,303
4638,46,38,northhalsted,270,51,44,13,121,35,6,969,285,-16,280,140,140,985,283
4604,46,4,uptown,339,51,36,6,205,37,4,777,340,-14,378,249,129,779,379
4615,46,15,buena_park,301,44,42,4,175,31,5,804,306,-13,324,206,118,816,328
4602,46,2,sheridan_park,325,61,53,14,147,49,1,766,334,-12,325,185,140,779,328
4613,46,13,buena_park,318,45,61,8,160,35,9,788,323,-10,314,182,132,798,319
4601,46,1,sheridan_park,307,59,53,15,125,51,4,773,317,-8,331,169,162,786,335
4609,46,9,buena_park,389,62,55,8,200,54,10,879,399,-8,390,212,178,890,393
4606,46,6,sheridan_park,290,64,42,5,118,57,4,831,302,-7,312,159,153,844,314
4611,46,11,buena_park,331,62,62,13,131,56,7,921,341,-6,306,153,153,924,314
4616,46,16,sheridan_park,430,82,71,5,191,76,5,901,441,-6,431,219,212,900,435
4629,46,29,uptown,302,35,48,8,175,29,7,711,311,-6,313,185,128,725,321
4635,46,35,buena_park,362,51,57,11,193,45,5,987,371,-6,379,226,153,1004,383
4605,46,5,northhalsted,363,53,95,19,134,50,12,1087,372,-3,343,154,189,1096,349
4627,46,27,buena_park,428,58,102,14,173,73,8,1036,442,15,446,191,255,1046,454
4637,46,37,uptown,278,40,46,9,123,57,3,884,289,17,281,124,157,890,288
4620,46,20,sheridan_park,294,44,35,9,132,72,2,809,302,28,309,163,146,821,312
4632,46,32,uptown,396,76,48,3,150,112,7,970,405,36,413,192,221,972,420
4608,46,8,sheridan_park,265,27,41,4,121,67,5,745,275,40,256,137,119,747,261
4612,46,12,sheridan_park,410,58,79,14,154,100,5,858,416,42,404,175,229,869,410
4623,46,23,uptown,290,27,82,3,106,72,0,743,297,45,290,131,159,746,293
4626,46,26,uptown,345,66,43,6,117,111,2,927,350,45,359,147,212,944,360
4625,46,25,sheridan_park,355,35,46,6,149,117,2,819,362,82,388,181,207,833,393
4614,46,14,uptown,324,26,38,3,136,118,3,1054,328,92,299,128,171,1074,303