ward,precinct,votes_13,votes_eileen,votes_hoan,votes_sergio,votes_andy,votes_joe
40,1,107,40,55,1,8,3
40,2,167,54,77,16,15,5
40,3,268,111,112,20,19,6
40,5,238,86,106,16,19,11
40,6,266,99,123,21,14,9
40,7,244,99,107,12,24,2
40,8,351,154,147,25,19,6
40,11,237,89,103,12,13,20
40,12,187,82,72,11,20,2
40,13,343,106,178,27,27,5
40,14,142,51,61,16,10,4
40,16,325,111,183,15,14,2
40,17,172,52,77,9,23,11
40,19,189,69,77,19,16,8
40,20,148,49,60,20,15,4
40,21,304,115,100,59,28,2
40,22,15,9,4,1,1,0
40,23,340,104,157,41,24,14
40,24,68,21,23,11,11,2
40,25,306,125,124,28,19,10
40,26,251,80,116,34,16,5
40,29,22,11,5,3,3,0
40,31,299,104,142,26,22,5
40,32,251,90,131,11,18,1
40,33,209,79,87,25,14,4
40,38,266,89,124,22,22,9
44,16,77,44,19,5,5,4
44,25,227,85,91,15,26,10
44,31,120,34,55,20,7,4
44,32,104,41,46,9,7,1
46,1,156,44,70,19,13,10
46,2,231,66,113,23,23,6
46,4,239,60,127,27,23,2
46,5,228,80,99,27,19,3
46,6,184,46,96,21,15,6
46,8,145,43,55,23,19,5
46,9,230,80,103,30,12,5
46,10,209,88,71,26,22,2
46,11,95,33,40,13,6,3
46,12,261,68,148,18,26,1
46,14,153,59,60,9,19,6
46,16,294,91,156,22,17,8
46,20,193,61,85,21,20,6
46,21,92,25,52,3,11,1
46,22,144,28,95,13,6,2
46,23,187,54,87,21,22,3
46,25,225,61,122,14,22,6
46,26,146,45,72,19,7,3
46,27,229,72,111,25,18,3
46,29,14,4,8,2,0,0
46,32,77,21,31,14,9,2
46,34,239,65,103,36,31,4
46,35,98,34,37,13,12,2
46,37,140,35,75,10,17,3
46,38,157,58,49,21,23,6
46,40,229,71,114,12,25,7
47,5,291,121,113,26,21,10
47,10,331,98,187,23,16,7
47,15,319,66,216,20,17,0
47,18,224,107,85,13,10,9
47,19,391,116,221,27,25,2
47,20,258,123,102,16,15,2
47,22,303,152,111,11,22,7
47,23,275,81,164,16,10,4
47,24,258,127,84,20,24,3
47,25,132,64,49,7,8,4
47,26,324,114,164,23,16,7
47,28,215,99,96,11,8,1
47,30,306,113,137,32,20,4
47,31,279,94,127,19,31,8
47,32,350,147,180,9,12,2
47,34,255,99,104,24,24,4
47,36,294,121,137,13,17,6
47,37,241,100,104,13,20,4
47,38,278,149,102,7,18,2
47,39,301,129,115,23,29,5
47,41,283,112,135,17,16,3
47,42,238,89,124,9,10,6
47,44,189,98,41,20,24,6
47,45,291,159,103,8,14,7
48,4,245,81,117,25,21,1
48,17,231,67,108,24,28,4
48,21,246,70,134,21,18,3
48,23,306,162,83,24,31,6
48,24,195,55,86,22,27,5
48,35,124,27,66,13,10,8